idade,sexo,dependentes,escolaridade,estado_civil,salario_anual,tipo_cartao,meses_de_relacionamento,qtd_produtos,iteracoes_12m,meses_inativo_12m,limite_credito,valor_transacoes_12m,qtd_transacoes_12m,predicao_credito
45,1,3,0,2,2,0,39,5,3,1,12691.51,1144.9,42,0
49,0,5,1,0,0,0,44,6,2,1,8256.96,1291.45,33,0
51,1,3,1,2,3,0,36,4,0,1,3418.56,1887.72,20,0
40,0,4,0,3,0,0,34,3,1,4,3313.03,1171.56,20,0
40,1,3,2,2,2,0,21,5,0,1,4716.22,816.08,28,0
44,1,2,1,2,1,0,36,3,2,1,4010.69,1088.07,24,0
51,1,4,2,2,4,2,46,6,3,1,34516.72,1330.87,31,0
32,1,0,0,3,2,1,27,2,2,2,29081.49,1538.32,36,0
37,1,3,2,0,2,0,36,5,0,2,22352.5,1350.14,24,0
48,1,2,1,0,3,0,36,6,3,3,11656.41,1441.73,32,0
42,1,5,2,3,4,0,31,5,2,3,6748.4,1201.27,42,0
65,1,1,2,2,1,0,54,6,3,2,9095.59,1314.42,26,0
56,1,1,3,0,3,0,36,3,0,6,11751.09,1539.95,17,0
35,1,3,1,3,2,0,30,5,3,1,8547.74,1311.48,33,0
57,0,2,1,2,0,0,48,5,2,2,2436.0,1570.23,29,0
44,1,4,2,3,3,0,37,5,2,1,4234.96,1348.1,27,0
48,1,4,4,0,3,0,36,6,3,2,30367.57,1671.12,27,0
41,1,3,2,2,3,0,34,4,1,4,13535.91,1028.75,21,0
61,1,1,0,2,1,0,56,2,3,2,3193.51,1336.54,30,0
45,0,2,1,2,4,0,37,6,2,1,14470.78,1207.79,21,0
47,1,1,4,1,2,0,42,5,0,2,20979.05,1178.72,27,0
62,0,0,1,2,0,0,49,2,3,3,1438.73,692.25,16,1
41,1,3,0,2,1,0,33,4,1,2,4470.45,931.04,18,0
47,0,4,2,0,0,0,36,3,2,3,2492.08,1126.97,23,0
54,1,2,2,2,3,0,42,4,3,2,12217.38,1110.07,21,0
41,0,3,1,0,0,0,28,6,2,1,7768.43,1052.0,22,0
59,1,1,0,3,1,0,46,4,2,1,14784.12,1197.92,23,0
63,1,1,2,2,2,0,56,3,2,3,10215.26,1904.01,40,0
44,0,3,2,0,4,0,34,5,2,2,10100.66,1052.46,18,0
47,1,4,0,2,1,0,42,6,0,0,4785.24,1045.67,38,0
53,1,3,2,2,3,0,33,3,3,2,2753.96,1038.8,25,0
53,1,2,2,2,2,0,48,2,1,5,2451.4,1596.34,26,0
41,1,4,1,2,2,0,36,4,2,1,8923.23,1589.11,24,0
53,0,2,3,2,0,0,38,5,3,2,2650.38,1411.63,28,0
58,1,0,1,2,3,0,49,6,2,2,12555.16,1291.68,24,0
55,0,1,3,0,0,0,36,4,1,2,3520.61,1407.71,43,0
55,0,3,1,2,0,0,36,6,3,2,3035.78,1877.05,37,0
42,0,4,0,2,0,2,36,2,3,3,15433.35,966.8,22,0
57,0,1,1,3,1,0,49,3,2,3,3672.19,1464.46,28,0
66,0,0,4,2,4,0,56,5,3,4,7882.47,704.78,16,1
45,1,3,1,0,3,0,41,2,2,2,32426.29,1109.51,28,0
51,1,2,2,2,1,0,44,4,0,1,6205.02,1347.47,28,0
50,0,1,3,0,1,1,43,3,3,2,17304.68,1756.0,33,0
